Age,BasalArea
0,2
1,8.815433474
2,9.49808061
3,8.656160334
4,8.574049843
5,8.353376597
6,10.14673442
7,13.64303065
8,14.38479919
9,15.39603525
10,17.79840558
11,20.76395721
12,22.07741516
13,26.8585262
14,31.36706272
15,35.7787159
16,34.50968684
17,34.7084944
18,35.9852921
19,37.35221335
20,39.24343926
21,40.15125801
22,37.71660363
23,41.91245538
24,45.13439133
25,51.41562545
26,54.08208256
27,57.23276316
28,56.53588793
29,58.07556663
30,60.52301659
31,62.23790567
32,61.64388865
33,64.4886656
34,65.40512729
35,66.43664356
36,67.56836491
37,69.64711565
38,72.05052249
39,73.57239865
40,75.24805546
41,82.40275709
42,83.18915693
43,86.40157864
44,85.26971097
45,88.64549931
46,87.68450414
47,88.71935499
48,85.0729342
49,89.50954223
50,92.53156085
51,94.3464624
52,96.87045657
53,103.5170717
54,102.8094756
55,107.9029659
56,107.709124
57,112.1002536
58,113.3844236
59,118.6749324
60,119.7202117
61,120.5569447
62,123.4190615
63,125.7171359
64,128.9849803
65,130.6534098
66,132.5679676
67,137.370505
68,139.0032636
69,139.3073146
70,143.1315684
