PreyDens,LitterSize
3.792274168,7
1.369464241,3
5.403124643,4
3.513466625,3
6.267558935,5
4.779584671,5
6.632083966,4
5.792844221,7
5.531132584,4
2.697103252,5
4.896472825,10
3.43696553,4
0.084193121,1
6.000916432,7
4.898977629,5
0.421494956,2
0.505025231,1
9.325867689,6
1.112611769,1
5.445219825,3
1.833840953,2
8.84279422,6
4.605378238,4
8.475893717,6
2.038492255,2
0.338231728,1
1.88633254,4
2.646895337,2
1.937887513,2
3.117018519,3
5.004326352,3
6.105204807,5
5.657731991,4
9.519277702,6
5.995457238,7
9.570303755,6
6.078265172,5
3.443859334,3
0.039676011,1
3.790289396,3
4.038023797,3
9.833375113,6
1.049173411,2
5.720903489,5
7.85585854,7
9.107217598,6
4.123043539,3
9.847138028,5
4.36752385,4
3.564638263,3
8.314832186,14
9.472302673,6
8.000250377,5
3.869004101,3
7.102414188,5
9.396007792,6
3.289625347,2
3.672067705,3
5.742900497,4
0.864147448,1
5.919823293,5
3.643814165,6
2.792684,7
7.826508647,5
1.200470189,2
3.019513858,2
7.008799505,4
6.998037435,7
4.80265524,9
6.017171424,4
7.715483555,5
4.2768698,3
8.367240496,5
8.705599755,7
0.358700182,1
8.610525699,7
4.817619389,8
0.589074115,1
3.725015188,3
9.255433206,7
6.3328041,4
0.243221398,2
3.592742607,4
0.424299513,2
9.681349993,6
7.006443469,5
5.459119969,4
1.383272642,2
6.8789022,8
8.822196813,5
8.583799512,5
9.003198287,6
2.228355976,5
8.661006386,7
9.537287788,6
9.351975557,6
9.413527853,5
3.647264508,4
3.69233889,15
0.11358063,1
