"Y" "xVente.xVente.1" "xVente.xVente.2" "xVente.xVente.3" "xVente.xVente.4" "xVente.xVente.5" "xVente.xVente.6" "xVente.xVente.7" "xVente.xVente.8" "xVente.xVente.9" "xVente.xVente.10" "xVente.xVente.11" "xVente.xVente.12" "xVente.xVente.13" "xVente.xVente.14" "xVente.xVente.15" "xVente.xVente.16" "xVente.xVente.17" "xVente.xVente.18" "xVente.xVente.19" "xVente.xVente.20" "xVente.xVente.21" "xVente.xVente.22" "xVente.xVente.23" "xVente.xVente.24" "xVente.xVente.25" "xVente.xVente.26" "xVente.xVente.27" "xVente.xVente.28" "xVente.xVente.29" "xVente.xVente.30" "xVente.xVente.31" "xVente.xVente.32" "xVente.xVente.33" "xVente.xVente.34" "xVente.xVente.35" "xVente.xVente.36" "xVente.xVente.37" "xVente.xVente.38" "xVente.xVente.39" "xVente.xVente.40" "zVente.zVente.1" "zVente.zVente.2" "zVente.zVente.3" "zVente.zVente.4" "zVente.zVente.5" "zVente.zVente.6" "zVente.zVente.7" "zVente.zVente.8" "zVente.zVente.9" "zVente.zVente.10" "zVente.zVente.11" "zVente.zVente.12" "zVente.zVente.13" "zVente.zVente.14" "zVente.zVente.15" "zVente.zVente.16" "zVente.zVente.17" "zVente.zVente.18" "zVente.zVente.19" "zVente.zVente.20" "zVente.zVente.21" "zVente.zVente.22" "zVente.zVente.23" "zVente.zVente.24" "zVente.zVente.25" "zVente.zVente.26" "zVente.zVente.27" "zVente.zVente.28" "zVente.zVente.29" "zVente.zVente.30" "zVente.zVente.31" "zVente.zVente.32" "zVente.zVente.33" "zVente.zVente.34" "zVente.zVente.35" "zVente.zVente.36" "zVente.zVente.37" "zVente.zVente.38" "zVente.zVente.39" "zVente.zVente.40" "xMoteur.xMoteur.1" "xMoteur.xMoteur.2" "xMoteur.xMoteur.3" "xMoteur.xMoteur.4" "xMoteur.xMoteur.5" "xMoteur.xMoteur.6" "xMoteur.xMoteur.7" "xMoteur.xMoteur.8" "xMoteur.xMoteur.9" "xMoteur.xMoteur.10" "zMoteur.zMoteur.1" "zMoteur.zMoteur.2" "zMoteur.zMoteur.3" "zMoteur.zMoteur.4" "zMoteur.zMoteur.5" "zMoteur.zMoteur.6" "zMoteur.zMoteur.7" "zMoteur.zMoteur.8" "zMoteur.zMoteur.9" "zMoteur.zMoteur.10" "xInfo.xInfo.1" "xInfo.xInfo.2" "xInfo.xInfo.3" "xInfo.xInfo.4" "xInfo.xInfo.5" "xInfo.xInfo.6" "xInfo.xInfo.7" "xInfo.xInfo.8" "xInfo.xInfo.9" "xInfo.xInfo.10" "zInfo.zInfo.1" "zInfo.zInfo.2" "zInfo.zInfo.3" "zInfo.zInfo.4" "zInfo.zInfo.5" "zInfo.zInfo.6" "zInfo.zInfo.7" "zInfo.zInfo.8" "zInfo.zInfo.9" "zInfo.zInfo.10" "xRecherche.xRecherche.1" "xRecherche.xRecherche.2" "xRecherche.xRecherche.3" "xRecherche.xRecherche.4" "xRecherche.xRecherche.5" "zRecherche.zRecherche.1" "zRecherche.zRecherche.2" "zRecherche.zRecherche.3" "zRecherche.zRecherche.4" "zRecherche.zRecherche.5" "xForum.xForum.1" "xForum.xForum.2" "xForum.xForum.3" "xForum.xForum.4" "xForum.xForum.5" "xForum.xForum.6" "xForum.xForum.7" "xForum.xForum.8" "xForum.xForum.9" "xForum.xForum.10" "zForum.zForum.1" "zForum.zForum.2" "zForum.zForum.3" "zForum.zForum.4" "zForum.zForum.5" "zForum.zForum.6" "zForum.zForum.7" "zForum.zForum.8" "zForum.zForum.9" "zForum.zForum.10"
"1" 13 3.98 2.53 5.14 6.78 3.67 3.12 3.18 1.81 1.5 2.01 1.86 2.57 0.62 5.34 7.67 8.13 0.75 7.18 1.69 3.84 3.71 9.78 0.52 0.64 0.36 9.07 2.14 7.03 1.75 10.61 0.96 3.43 7.51 1.52 3.1 7.24 3.41 4.16 4.87 0.5 5 4 11 4 3 1 4 1 5 1 4 2 2 8 9 9 2 12 2 7 2 17 2 1 6 11 1 11 4 12 2 2 9 1 3 15 2 7 2 1 27.06 16.73 18.74 8.64 14.27 2.83 4.39 11.12 11.03 15.76 25 11 21 12 12 2 7 8 13 7 6.16 3.41 5.4 6.53 8.57 3.09 2.44 3.97 3.14 3.5 7 4 5 4 9 2 3 1 3 1 11.07 1.23 2.32 6.82 12.54 5 3 5 4 3 0.88 4.83 0.88 3.05 4.78 4.82 1.64 3.46 1.23 5.3 9 4 5 7 8 2 2 1 2 1
"2" 0 7.77 2.36 3.68 5.7 4.44 1.69 2.32 0.52 2.89 0.5 7.23 0.28 2.57 6.34 9.46 8.06 2.05 7.9 1.46 5.81 2.77 10.9 0.57 1.86 4.42 10.24 1.84 9.26 4.54 10.63 0.53 1.95 9.88 1.82 1.81 10.37 5.74 4.08 4.05 0.04 6 2 4 7 7 1 3 1 5 1 9 3 4 9 9 6 2 10 1 6 3 15 1 3 4 4 3 7 4 9 1 1 12 3 5 8 2 11 8 1 24.49 16.99 19.11 8.63 14.31 0.03 3.61 9.96 11.27 15.77 34 14 14 11 13 3 5 7 16 14 6.34 3.82 4.74 6.08 8.34 3.35 2.62 4.85 3.04 3.35 8 2 10 7 4 1 4 1 5 1 10.67 2.65 0.54 4.46 11.67 7 1 7 5 7 0.73 4.02 1.63 1.5 5.84 1.96 1.31 2.51 2.27 4.74 7 2 7 7 3 1 4 1 4 1
"3" 1 4.66 3.12 5.23 7.26 4.99 0.28 3.71 0.5 1.03 1.24 3.77 1.11 1.04 4.96 7.48 4.02 0.19 6.44 0.85 4.01 3.77 10.59 1.06 2.25 2.44 7.79 0.13 7 3.17 9.99 0.57 3.51 8.04 0.5 2.44 9.04 3.98 3.89 7.94 1.2 7 6 9 8 5 1 3 1 4 3 4 1 2 9 9 4 2 10 3 4 6 9 1 2 6 8 2 4 3 4 2 2 7 3 2 8 4 6 5 1 25.52 15.79 18.19 8.93 14.37 1.52 5.21 10.15 10.02 16.64 24 16 23 7 15 3 7 15 11 12 5.17 3.97 4.65 7.28 7.66 5.34 4.06 4.77 2.66 2.57 6 6 8 5 7 1 3 1 4 2 9.41 2.28 1.44 2.59 8.79 10 3 3 4 6 0.78 2.84 2.63 3.32 5.13 1.94 0.57 1.15 3.27 5.57 8 4 7 4 6 1 3 1 3 1
"4" 0 8.17 3.06 5.9 5.05 3.44 2.23 2.57 0.82 4.05 0.6 5.82 3.21 2.09 4.76 9.11 6.04 0.07 8.89 0.55 5.44 3.85 11.92 0.46 2.1 4.46 8.87 0.91 7.69 4.69 10.17 3.38 1.28 12.13 1.37 2.55 11.05 8.17 8.52 6.08 1.99 6 3 3 6 7 1 3 1 3 3 9 2 3 10 6 5 2 4 4 5 4 11 1 2 8 8 3 5 3 7 1 2 9 2 8 12 8 7 8 2 24.41 15.54 16.66 8.14 13.84 2.26 2.77 9.51 9.78 14.56 40 15 16 9 13 2 6 11 6 11 6.4 4.49 4.76 5.43 8.35 2.94 1.9 4.05 1.63 2.67 10 2 7 8 4 1 4 1 2 2 8.54 2.05 2.88 5.14 7.27 13 1 6 3 11 1.06 3.36 0.02 2.12 5.46 3.74 0.53 0.98 0.17 3.83 8 4 7 7 7 1 1 2 5 1
"5" 0 7.71 4.07 2.99 5.06 6.5 0.71 4.16 1.11 0.54 1.41 3.77 3.24 0.1 2.83 9.72 5.12 0.35 5.41 1.29 3.87 3.48 9.55 0.16 1.27 0.69 8.34 0.88 8.02 3.99 9.36 0.47 3.54 9.81 2.31 1.31 10.36 5.31 2.65 6.75 0.03 4 6 5 4 7 1 5 2 3 1 1 2 2 5 9 9 2 6 6 5 3 11 1 1 2 8 5 10 5 9 2 4 7 4 7 9 5 12 7 1 24.28 15.13 16.9 7.97 14.27 0.72 3.94 9.88 10.83 15.67 34 15 21 8 19 5 3 12 11 20 4.96 4.3 5.32 5.73 8.33 3.23 1.13 2.78 0.6 2.28 12 5 10 8 6 1 4 1 1 2 8.64 1.98 2.47 5.46 8.89 7 2 7 9 8 2.1 3.23 2.53 2.45 5.18 2.26 1.45 3.27 1.77 4.36 13 3 3 5 7 2 3 1 3 1
"6" 1 9.05 4.39 1.88 4.74 6.13 0.85 4.28 1.23 1.13 0.07 6.8 0.18 1.64 6.22 9.38 5.94 2.93 8.06 1.43 8 0.86 11.2 0.54 3.47 1.15 10.42 1.64 7.92 4.26 10.79 0.89 2.21 8.92 1.39 2.53 13.59 5.36 6.41 4.8 0.1 7 1 3 7 8 1 8 3 3 1 5 3 2 4 13 8 1 6 2 8 2 7 1 2 5 10 3 10 3 12 2 3 10 2 4 10 9 4 8 1 24.07 13.1 14.17 7.07 12.57 1.72 4.12 8.39 8.78 14.78 26 13 19 13 20 1 8 14 18 20 4.52 2.67 5.24 5.19 7.49 4.92 1.9 3.25 1.12 1.91 9 2 8 7 5 1 5 1 5 1 6.5 4.18 1.47 4.96 6.9 8 3 7 6 9 0.7 4.18 1.15 3.18 5.43 2.1 0.27 2.14 0.05 3.77 5 2 8 3 3 1 3 1 3 1
"7" 11 8.4 0.64 7.56 5.43 6.47 2.4 0.1 0.38 4.46 1.62 5.65 1.81 2.43 4.5 10.39 6.44 0.27 8.85 2.35 5.5 2.98 10.81 0.41 1.54 6.32 10.95 2.07 8.77 4.06 10.9 2.39 1.09 12.06 2.05 4.2 8.86 7.59 6.78 7.57 1.14 6 2 4 6 7 1 3 2 2 1 8 3 2 2 8 7 2 6 2 6 2 11 1 3 6 8 2 15 2 14 2 1 14 4 3 12 4 10 8 1 22.42 16.21 17.3 8.76 14.54 1.98 6.36 9.65 10.4 17.3 21 24 17 8 10 2 5 12 16 21 5.38 3.49 4.17 6.52 8.85 3.39 1.76 4.59 0.49 2.04 10 2 8 5 7 1 2 2 5 2 8.16 4.46 0.98 5.83 10.41 4 4 5 6 8 0.45 2.98 1.06 3.18 5.79 2.52 1.16 2.67 1.82 4.66 7 2 4 6 8 2 4 1 5 1
"8" 9 6.81 1.67 5.26 5.8 6.38 3.78 2.74 0.03 3.16 2.05 6.48 0.16 1.8 6.09 10.16 6.22 1.46 8.1 0.88 3.97 4.32 10.64 1.88 2.2 5.16 10.63 2.77 10.19 2.63 12.09 0.94 0.78 12.06 0.98 1.64 9.13 5.88 6.04 6.52 1.46 8 3 5 3 6 1 4 1 3 2 4 1 1 8 6 5 3 11 3 5 5 14 1 2 6 6 2 13 3 13 2 3 14 2 4 12 5 5 4 1 26.14 14.96 17.74 9.04 13.4 0.59 4.49 10.54 10.97 16.41 32 18 17 7 9 3 4 13 11 16 5.33 2.48 5.64 6.04 8.16 3.85 2.95 4.48 2.1 2.56 5 2 9 8 6 2 5 1 5 1 8.35 3.21 1.09 5.65 9.94 7 2 5 2 8 0.18 0.57 0.2 2.98 4.08 4.88 0.42 1.44 0.83 3.71 8 3 5 8 4 1 3 3 2 1
"9" 1 6.4 2.52 3.68 6 5.17 0.12 1.83 1.32 2.24 0.07 3.49 0.03 0.24 5.38 9.9 6.77 3.9 6.2 2.01 4.67 1.98 10.83 0.05 4.17 5.06 9.95 0.46 7.9 2.43 12.54 0.43 2.85 8.76 1.33 2.08 8.19 5.04 3.52 7.75 1.79 9 5 6 5 7 1 4 1 3 2 8 2 4 5 15 7 2 5 3 8 3 15 2 1 4 14 3 10 6 10 1 2 15 2 1 7 7 4 4 1 22.28 13.31 16.64 8.22 11.49 2.43 4.94 10.01 9.84 15.16 29 17 12 6 13 5 4 15 11 9 6 4.27 5.6 6.28 8.84 3.39 1.85 3.96 0.95 2.41 8 4 4 3 7 2 1 1 4 2 7.19 3.72 0.02 3.44 6.91 6 6 9 7 8 2.04 2.55 2.45 2.02 6.9 1.8 2.11 4.26 3.25 3.62 7 4 4 6 7 2 3 1 5 1
"10" 9 8.35 3.19 4.66 6.87 5.12 1.11 4.19 0.1 3.52 0.05 5.23 1.63 4.47 4.99 10.05 6.68 1.55 9.02 1.45 6 4.28 11.34 1.81 2.39 3.7 10.65 0.39 8.55 3.33 11.21 4.07 3.02 10.98 0.51 1.94 10.19 6.8 5.67 5.84 2.51 8 2 7 5 8 1 2 3 1 2 6 1 1 5 7 10 1 9 2 6 6 8 3 2 4 12 1 10 2 11 1 3 14 3 4 11 6 6 6 1 26.55 14.5 15.92 6.59 13.29 0.54 3.55 9.07 9.84 14.08 35 16 27 4 18 3 5 14 8 19 6.63 5.16 6.02 8.37 9.28 2.77 2.21 4.1 2.87 3.57 7 2 6 5 4 1 4 1 4 1 9.85 2.72 0.16 4.14 9.66 10 7 7 7 5 0.43 5.25 0.12 4.45 4.87 6.99 0.69 2.37 0.92 5.28 7 3 5 8 5 1 5 1 3 1
